idx,subject,small_correct,small_entropy,small_energy,small_carbon,small_logits,large_correct,large_entropy,large_energy,large_carbon
0,college_physics,0,1.70703125,22.495585456372545,0.0035618010305923198,"[21.390625, 22.96875, 22.171875, 23.328125]",0,0.451171875,16.4666205239892,0.00260721491629829
1,anatomy,0,1.7587890625,1.7195842339396479,0.00027226750370711093,"[21.015625, 21.734375, 21.71875, 22.640625]",0,0.138671875,7.521203182116151,0.001190857170501724
2,high_school_statistics,1,1.2177734375,1.565233721315861,0.00024782867254167796,"[21.25, 21.1875, 23.734375, 22.125]",0,0.1328125,6.485547733530402,0.0010268783911423136
3,miscellaneous,0,1.947265625,1.787065947175026,0.00028295210830271244,"[21.703125, 20.90625, 21.46875, 21.515625]",1,0.1142578125,3.74401959374547,0.0005928031023430326
4,prehistory,0,1.8720703125,1.5723446712791922,0.0002489545729525388,"[21.734375, 21.109375, 22.28125, 22.265625]",0,0.00141143798828125,6.376153780500093,0.0010095576819125146
5,security_studies,1,1.947265625,1.9864429034292697,0.000314520126376301,"[20.328125, 20.390625, 20.453125, 19.6875]",1,0.045166015625,11.832404064416885,0.0018734639768660066
6,conceptual_physics,0,0.87939453125,1.826516506075859,0.0002891984467953443,"[24.296875, 22.5625, 20.671875, 20.625]",0,1.5273690223693848e-07,11.37204674718529,0.0018005740683043375
7,marketing,1,0.31201171875,1.6035927202552556,0.00025390218070708213,"[17.6875, 17.234375, 22.59375, 19.234375]",1,1.6391277313232422e-06,13.110790485598146,0.0020758751602197065
8,professional_law,0,1.8603515625,1.6069568929697076,0.0002544348413868704,"[21.21875, 21.578125, 21.5, 22.328125]",0,0.053466796875,12.701548195275166,0.002011078464251901
9,jurisprudence,0,0.286376953125,1.5963475132659077,0.0002527550229337687,"[20.6875, 19.453125, 18.828125, 24.25]",0,0.045166015625,10.331918729931116,0.0016358871322390935
10,moral_scenarios,1,1.9765625,1.5883566317483782,0.00025148980002682656,"[21.09375, 21.09375, 21.0, 20.625]",0,0.259765625,12.681213925145567,0.0020078588714813814
11,public_relations,0,1.9150390625,1.5582441912665963,0.0002467219969505444,"[21.375, 22.171875, 21.5625, 21.4375]",1,0.76953125,16.370833042614162,0.0025920485650805757
12,jurisprudence,1,0.87744140625,1.5567023067176342,0.0002464778652302921,"[20.265625, 19.015625, 17.65625, 22.0625]",1,0.326171875,15.691725056037304,0.0024845231338725734
13,management,0,1.494140625,1.5824327297508716,0.0002505518488772213,"[22.234375, 21.546875, 21.546875, 23.484375]",1,0.328125,13.802952109277248,0.002185467417302231
14,public_relations,1,1.6357421875,1.5824257694184778,0.0002505507468245923,"[20.21875, 21.6875, 19.609375, 21.265625]",1,0.76953125,12.859450121266148,0.002036079602533807
15,professional_law,0,1.7421875,2.2272727243602275,0.0003526515146903693,"[21.296875, 22.234375, 21.8125, 22.953125]",0,0.056640625,9.76449611825496,0.0015460452187237021
16,college_physics,0,1.8935546875,1.5905699383467435,0.0002518402402382344,"[21.0, 22.171875, 21.78125, 22.015625]",0,0.68359375,10.878205980489652,0.0017223826135775284
17,professional_psychology,0,1.7021484375,1.6086159431636333,0.0002546975243342419,"[21.75, 23.078125, 22.890625, 21.359375]",1,2.775341272354126e-07,13.540598495006563,0.002143928095042706
18,professional_law,0,1.43359375,1.7419309852123261,0.00027580573932528497,"[23.46875, 21.984375, 21.5625, 21.40625]",0,1.140625,14.179035651683808,0.0022450139781832698
19,marketing,1,0.93701171875,1.6784562842845918,0.0002657555783450604,"[20.140625, 20.53125, 22.890625, 19.953125]",1,9.611248970031738e-07,18.400050340265036,0.002913341303875297
20,high_school_psychology,0,1.79296875,1.6782613584995272,0.00026572471509575844,"[20.921875, 21.171875, 20.671875, 22.0]",0,0.98828125,14.936413553088904,0.0023649321459057434
21,high_school_us_history,0,1.771484375,1.755878999153773,0.00027801417486601407,"[19.875, 21.421875, 21.90625, 21.609375]",1,0.98828125,10.374878469526767,0.0016426890910084047
22,professional_law,1,1.2744140625,1.7117707645893099,0.00027103037105997405,"[22.5, 19.640625, 21.515625, 19.828125]",1,9.220093488693237e-08,11.750258534863592,0.001860457601353402
23,prehistory,1,1.84375,2.017965685427189,0.0003195112335259716,"[21.890625, 22.375, 21.921875, 22.984375]",0,0.56640625,14.530115962259472,0.0023006016940244163
24,high_school_psychology,1,0.1998291015625,1.7167963182926178,0.0002718260837296645,"[18.96875, 18.5625, 18.625, 23.546875]",1,1.7583370208740234e-06,14.192736096754672,0.0022471832153194895
25,us_foreign_policy,1,1.9873046875,1.7024206224083902,0.0002695499318813284,"[22.65625, 22.375, 22.3125, 22.421875]",1,0.00604248046875,13.023845184370876,0.002062108820858722
26,business_ethics,0,1.07421875,1.6770305748283862,0.00026552984101449445,"[22.375, 20.34375, 18.453125, 20.46875]",0,8.940696716308594e-08,13.291296967372299,0.0021044553531672804
27,high_school_us_history,0,1.611328125,1.6606426974758506,0.0002629350937670097,"[19.09375, 19.8125, 18.125, 17.890625]",1,3.5390257835388184e-07,12.942189244441687,0.002049179963703267
28,high_school_european_history,1,0.63037109375,1.7058264489099384,0.0002700891877440736,"[22.671875, 19.5, 19.359375, 19.28125]",1,3.552436828613281e-05,14.436253858432176,0.002285740194251761
29,high_school_chemistry,1,1.7744140625,1.6509225617721677,0.0002613960722805932,"[22.390625, 23.140625, 23.859375, 22.734375]",1,3.361701965332031e-05,17.83252254409343,0.002823482736148126
30,professional_law,1,1.5224609375,1.7200402105102934,0.0002723396999974631,"[21.453125, 22.78125, 21.359375, 20.53125]",0,0.11767578125,17.30216620654613,0.002739509649369804
31,college_physics,0,1.7421875,1.8088921484351157,0.00028640792350222665,"[22.28125, 23.21875, 23.375, 24.125]",0,0.275390625,15.795810492806137,0.002501003328027638
32,high_school_psychology,1,1.7724609375,1.832484163224697,0.00029014332584391037,"[21.09375, 21.375, 20.765625, 22.203125]",1,0.302734375,15.440002394378187,0.002444667045776546
33,high_school_macroeconomics,0,1.58984375,2.471265548080206,0.0003912837117793659,"[22.640625, 21.140625, 20.3125, 22.03125]",1,0.000370025634765625,14.39660572759807,0.002279462573536361
34,moral_disputes,1,1.2763671875,1.7551355581730603,0.0002778964633774012,"[20.453125, 20.25, 19.703125, 22.234375]",0,1.0234375,14.496836569234727,0.002295332456795498
35,high_school_computer_science,1,1.8359375,1.6118706184625624,0.00025521284792323905,"[21.265625, 22.203125, 21.8125, 22.640625]",1,0.000640869140625,13.123854645080863,0.0020779436521378035
36,professional_medicine,1,1.8720703125,1.5752686535418032,0.0002494175368107855,"[23.171875, 22.296875, 22.34375, 23.234375]",1,0.00750732421875,12.641232240517935,0.0020015284380820062
37,elementary_mathematics,1,1.6708984375,1.6054016487449407,0.00025418859438461566,"[22.640625, 24.15625, 22.453125, 24.0]",0,1.3783574104309082e-06,10.23758904391527,0.0016209515986199176
38,high_school_chemistry,1,1.3662109375,1.598364517956972,0.00025307438200985387,"[20.484375, 21.09375, 22.90625, 21.296875]",0,0.0020599365234375,11.499179919853807,0.001820703487310186
39,high_school_mathematics,0,1.9130859375,1.6551543303454912,0.0002620661023047028,"[23.375, 23.515625, 22.5, 23.46875]",0,1.375,13.110880243197084,0.0020758893718395384
40,moral_scenarios,0,1.9765625,1.7588419926539063,0.00027848331550353513,"[21.15625, 20.984375, 21.0, 20.640625]",0,0.00104522705078125,12.592373026952147,0.00199379239593409
41,moral_disputes,1,1.65234375,1.7818527446985244,0.0002821266845772664,"[21.078125, 20.609375, 17.84375, 20.84375]",1,0.00013637542724609375,10.000223183847964,0.0015833686707759276
42,virology,0,0.3095703125,1.784576471634209,0.00028255794134208307,"[18.03125, 17.578125, 19.953125, 23.203125]",0,3.790855407714844e-05,10.975156731367111,0.0017377331491331258
