threshold,accuracy,carbon_g,escalation_rate,gqos
0.1,0.5300,0.716612,1.000,0.7396
0.2,0.5300,0.704737,0.983,0.7521
0.3,0.5300,0.694472,0.967,0.7632
0.4,0.5300,0.684593,0.950,0.7742
0.5,0.5300,0.677325,0.940,0.7825
0.6,0.5300,0.670826,0.930,0.7901
0.7,0.5300,0.653879,0.903,0.8105
0.8,0.5300,0.634317,0.873,0.8355
0.9,0.5267,0.616720,0.843,0.8540
1.0,0.5300,0.604486,0.823,0.8768
1.1,0.5200,0.587666,0.800,0.8849
1.2,0.5200,0.572600,0.777,0.9081
1.3,0.5267,0.535762,0.720,0.9830
1.4,0.5167,0.498684,0.663,1.0361
1.5,0.5133,0.467762,0.613,1.0974
1.6,0.5033,0.421778,0.540,1.1934
1.7,0.5000,0.364975,0.447,1.3700
1.8,0.4733,0.286074,0.320,1.6546
1.9,0.4867,0.194162,0.173,2.5065
