idx,subject,small_correct,small_entropy,small_energy,small_carbon,small_logits,large_correct,large_entropy,large_energy,large_carbon
0,college_physics,0,1.515625,25.03693166405708,0.003964180846809037,"[22.953125, 26.171875, 25.640625, 26.765625]",0,0.451171875,16.081297106916086,0.002546205375261714
1,anatomy,0,1.93359375,1.7903150215744974,0.00028346654508262873,"[28.578125, 27.71875, 28.09375, 28.3125]",0,0.138671875,7.181246881112456,0.0011370307561761389
2,high_school_statistics,1,0.60302734375,2.3814029060304165,0.0003770554601214826,"[27.625, 25.59375, 30.65625, 27.828125]",0,0.1328125,8.24523598793894,0.0013054956980903321
3,miscellaneous,1,1.3896484375,1.942877617031336,0.00030762228936329484,"[27.640625, 27.875, 30.28125, 30.21875]",1,0.1142578125,7.8522299860715865,0.0012432697477946677
4,prehistory,1,1.400390625,1.8616242911964656,0.0002947571794394404,"[28.140625, 26.9375, 25.90625, 25.921875]",0,0.00141143798828125,8.67369693217675,0.001373335347594652
5,security_studies,0,1.630859375,2.477443643912673,0.00039226191028617324,"[27.078125, 26.265625, 26.4375, 24.1875]",1,0.045166015625,10.068073816135525,0.0015941116875547916
6,conceptual_physics,0,0.422607421875,1.904789349362254,0.00030159164698235694,"[31.578125, 29.1875, 23.5625, 23.296875]",0,1.5273690223693848e-07,9.565043388893207,0.0015144652032414243
7,marketing,1,0.0076141357421875,2.391022825986147,0.0003785786141144732,"[22.578125, 23.921875, 31.890625, 22.96875]",1,1.6391277313232422e-06,10.679038690477608,0.0016908477926589544
8,professional_law,0,1.75390625,2.3863243502378464,0.00037783468878765903,"[25.734375, 26.171875, 24.015625, 26.03125]",0,0.053466796875,11.12706671358645,0.0017617855629845213
9,jurisprudence,0,0.0980224609375,2.349689220264554,0.00037203412654188774,"[26.78125, 27.03125, 24.578125, 32.1875]",0,0.045166015625,9.411605889350176,0.0014901709324804445
10,moral_scenarios,0,1.1923828125,2.312358793467283,0.00036612347563231987,"[29.5, 29.8125, 26.546875, 25.96875]",0,0.259765625,11.153507958198588,0.0017659720933814432
11,public_relations,0,1.458984375,2.463809212654829,0.00039010312533701457,"[27.625, 28.703125, 27.125, 25.90625]",1,0.76953125,13.852598158568144,0.0021933280417732897
12,jurisprudence,1,0.050140380859375,3.260582786224782,0.0005162589411522572,"[26.671875, 23.765625, 21.8125, 31.953125]",1,0.326171875,12.961728526030978,0.0020522736832882383
13,management,0,0.399169921875,2.637524734601378,0.0004176080829785515,"[33.8125, 31.296875, 25.8125, 27.046875]",1,0.328125,11.006782140873373,0.001742740505638284
14,public_relations,1,0.494140625,2.3746234936714172,0.000375982053164641,"[23.4375, 29.484375, 26.65625, 25.890625]",1,0.76953125,11.200938604871432,0.00177348194577131
15,professional_law,0,1.9443359375,2.1368641937971113,0.00033833683068454264,"[27.5, 27.75, 27.3125, 28.046875]",0,0.056640625,10.475131942927836,0.0016585625576302407
16,college_physics,0,1.908203125,2.076481778562069,0.00032877628160566085,"[25.046875, 25.25, 24.21875, 24.734375]",0,0.68359375,13.106679436117412,0.0020752242440519237
17,professional_psychology,1,0.04779052734375,2.0744030950069425,0.00032844715670943253,"[27.484375, 28.3125, 34.0625, 24.84375]",1,2.775341272354126e-07,17.28078874245286,0.0027361248842217027
18,professional_law,0,0.360595703125,2.356521053411066,0.0003731158334567521,"[30.0, 24.859375, 24.953125, 26.921875]",0,1.140625,16.12182671116044,0.002552622562600403
19,marketing,1,0.023773193359375,2.8479807997494935,0.0004509302932936698,"[23.21875, 24.265625, 31.6875, 25.0]",1,9.611248970031738e-07,12.139976914599538,0.0019221630114782601
20,high_school_psychology,0,1.2197265625,2.8898792030662297,0.000457564207152153,"[26.0, 26.984375, 26.015625, 28.546875]",0,0.98828125,13.479356615021825,0.002134231464045122
21,high_school_us_history,1,0.262939453125,3.1015752029046415,0.0004910827404599015,"[23.890625, 29.375, 25.328125, 25.09375]",1,0.98828125,17.981320072606206,0.0028470423448293154
22,professional_law,1,0.01097869873046875,2.6404747836440805,0.0004180751740769794,"[31.953125, 24.390625, 23.078125, 23.265625]",1,9.220093488693237e-08,15.810754005114235,0.0025033693841430868
