threshold,accuracy,carbon_g,escalation_rate,gqos
0.1,0.5400,0.639732,0.777,0.8441
0.2,0.5500,0.612185,0.733,0.8984
0.3,0.5567,0.582486,0.690,0.9557
0.4,0.5667,0.554148,0.643,1.0226
0.5,0.5667,0.541978,0.623,1.0456
0.6,0.5733,0.521764,0.593,1.0988
0.7,0.5733,0.503666,0.563,1.1383
0.8,0.5767,0.488323,0.540,1.1809
0.9,0.5767,0.459287,0.490,1.2556
1.0,0.5900,0.436237,0.453,1.3525
1.1,0.6033,0.390739,0.383,1.5441
1.2,0.5867,0.340762,0.307,1.7216
1.3,0.5700,0.295600,0.240,1.9283
1.4,0.5767,0.278893,0.213,2.0677
1.5,0.5700,0.239145,0.150,2.3835
1.6,0.5700,0.208957,0.100,2.7278
1.7,0.5733,0.187304,0.067,3.0610
1.8,0.5733,0.164722,0.030,3.4806
1.9,0.5667,0.154271,0.013,3.6732
