threshold,accuracy,carbon_g,escalation_rate,gqos
0.1,0.6367,0.586544,0.430,1.0855
0.2,0.6467,0.548012,0.370,1.1800
0.3,0.6500,0.531894,0.343,1.2220
0.4,0.6500,0.520450,0.327,1.2489
0.5,0.6700,0.485042,0.273,1.3813
0.6,0.6767,0.473555,0.253,1.4289
0.7,0.6733,0.456770,0.230,1.4741
0.8,0.6700,0.440952,0.207,1.5194
0.9,0.6700,0.424499,0.183,1.5783
1.0,0.6733,0.403280,0.150,1.6696
1.1,0.6800,0.378993,0.117,1.7942
1.2,0.6867,0.360710,0.090,1.9037
1.3,0.6900,0.348185,0.070,1.9817
1.4,0.6900,0.341751,0.057,2.0190
1.5,0.6933,0.330201,0.040,2.0997
1.6,0.6867,0.324579,0.030,2.1156
1.7,0.6833,0.313354,0.013,2.1807
1.8,0.6833,0.310817,0.010,2.1985
1.9,0.6867,0.305967,0.003,2.2443
