small_model,gpu,tdp_w,small_j,large_j,ratio,cs_cl,small_acc,large_acc,entropy,gg_cut,gg_ret,gg_esc
Qwen2.5-0.5B,A100,400,542.4,3983.6,7.34,0.136,0.463,0.53,1.478,4.2,100.0,0.823
Qwen2.5-0.5B,H100,700,863.8,4029.1,4.66,0.214,0.463,0.533,1.478,-4.0,100.0,0.823
Qwen2.5-1.5B,T4,70,1317.6,4848.0,3.68,0.272,0.57,0.533,0.808,26.2,110.6,0.457
Qwen2.5-1.5B,A100,400,930.0,3998.2,4.3,0.233,0.567,0.53,0.808,31.1,111.3,0.453
Qwen2.5-1.5B,H100,700,1061.0,3865.1,3.64,0.275,0.567,0.533,0.808,27.0,110.6,0.453
Qwen2.5-3B,T4,70,1866.4,4508.8,2.42,0.414,0.653,0.533,0.488,35.1,121.2,0.22
Qwen2.5-3B,A100,400,1507.0,4017.5,2.67,0.375,0.65,0.53,0.488,39.9,122.6,0.23
Qwen2.5-3B,H100,700,1470.8,3992.6,2.71,0.368,0.65,0.533,0.488,40.3,121.9,0.227
Qwen2.5-7B,T4,70,2270.3,4933.0,2.17,0.46,0.687,0.533,0.355,37.8,126.2,0.147
Qwen2.5-7B,A100,400,1920.9,4103.4,2.14,0.468,0.687,0.53,0.355,37.9,127.0,0.15
Qwen2.5-7B,H100,700,1801.0,4010.6,2.23,0.449,0.687,0.533,0.355,40.2,126.2,0.15
