threshold,accuracy,carbon_g,escalation_rate,gqos
0.1,0.5333,0.774703,1.000,0.6884
0.2,0.5333,0.764543,0.983,0.6976
0.3,0.5333,0.753979,0.967,0.7074
0.4,0.5333,0.743537,0.950,0.7173
0.5,0.5333,0.737334,0.940,0.7233
0.6,0.5333,0.730878,0.930,0.7297
0.7,0.5333,0.713797,0.903,0.7472
0.8,0.5333,0.694746,0.873,0.7677
0.9,0.5300,0.676928,0.843,0.7829
1.0,0.5333,0.663616,0.823,0.8037
1.1,0.5233,0.649404,0.800,0.8059
1.2,0.5233,0.634319,0.777,0.8250
1.3,0.5333,0.600550,0.723,0.8881
1.4,0.5200,0.562389,0.663,0.9246
1.5,0.5167,0.528500,0.613,0.9776
1.6,0.5067,0.483460,0.543,1.0480
1.7,0.5033,0.421771,0.447,1.1934
1.8,0.4767,0.340335,0.320,1.4006
1.9,0.4900,0.246582,0.173,1.9872
