threshold,accuracy,carbon_g,escalation_rate,gqos
0.1,0.5433,0.647644,0.780,0.8389
0.2,0.5567,0.618519,0.733,0.9000
0.3,0.5600,0.591283,0.690,0.9471
0.4,0.5700,0.565007,0.647,1.0088
0.5,0.5700,0.551155,0.623,1.0342
0.6,0.5800,0.533908,0.593,1.0863
0.7,0.5767,0.512989,0.560,1.1241
0.8,0.5767,0.500889,0.540,1.1513
0.9,0.5800,0.472168,0.493,1.2284
1.0,0.5900,0.446480,0.453,1.3214
1.1,0.6000,0.401858,0.380,1.4931
1.2,0.5867,0.356922,0.307,1.6437
1.3,0.5700,0.314717,0.240,1.8112
1.4,0.5800,0.298841,0.213,1.9408
1.5,0.5700,0.258527,0.150,2.2048
1.6,0.5700,0.227531,0.100,2.5052
1.7,0.5733,0.208124,0.067,2.7548
1.8,0.5767,0.187740,0.033,3.0716
1.9,0.5667,0.174996,0.013,3.2382
