idx,subject,small_correct,small_entropy,small_energy,small_carbon,small_logits,large_correct,large_entropy,large_energy,large_carbon
0,college_physics,0,0.365478515625,51.82715750164087,0.00820596660442647,"[25.4375, 30.078125, 26.390625, 26.109375]",0,0.421875,17.989942427594215,0.0028484075510357507
1,anatomy,0,1.4951171875,4.5213971590027215,0.0007158878835087643,"[26.4375, 25.921875, 26.046875, 27.84375]",0,0.138671875,7.635033324792982,0.0012088802764255555
2,high_school_statistics,1,0.5400390625,5.575519555476494,0.0008827905962837782,"[33.0, 26.265625, 34.96875, 25.953125]",0,0.142578125,7.584137586416211,0.0012008217845158999
3,miscellaneous,0,1.5673828125,4.605978223351761,0.0007292798853640288,"[33.96875, 25.1875, 34.0, 34.3125]",1,0.1328125,7.148904392128189,0.0011319098620869632
4,prehistory,0,0.01126861572265625,5.248238041815347,0.0008309710232874299,"[34.4375, 41.4375, 31.1875, 29.65625]",0,0.00164031982421875,7.233197480404749,0.0011452562677307522
5,security_studies,1,1.4453125,5.453683278167464,0.000863499852376515,"[31.140625, 30.171875, 31.359375, 22.4375]",1,0.03857421875,8.876982514398948,0.0014055222314465
6,conceptual_physics,0,0.005157470703125,4.147203060900792,0.0006566404846426253,"[40.375, 32.53125, 25.390625, 25.734375]",0,1.5925616025924683e-07,7.181104903179221,0.0011370082763367097
7,marketing,1,0.0003349781036376953,3.291431494602002,0.0005211433199786503,"[26.546875, 27.90625, 39.6875, 28.1875]",1,1.7136335372924805e-06,8.611335866504348,0.0013634615121965218
8,professional_law,0,1.29296875,5.745176416011527,0.0009096529325351585,"[23.234375, 27.8125, 26.359375, 26.453125]",0,0.06103515625,11.949802680350839,0.0018920520910555494
9,jurisprudence,0,0.5390625,3.3998080772068353,0.0005383029455577489,"[33.3125, 31.71875, 29.0625, 35.71875]",0,0.05517578125,9.9519160575935,0.0015757200424523041
10,moral_scenarios,0,1.2509765625,5.179105643775314,0.0008200250602644247,"[29.1875, 31.40625, 31.125, 23.125]",0,0.322265625,9.300207433368545,0.0014725328436166864
11,public_relations,0,0.7880859375,3.679992990136147,0.0005826655567715566,"[32.1875, 30.875, 26.875, 25.296875]",1,0.73046875,10.794134772099554,0.0017090713389157628
12,jurisprudence,1,nan,5.95962689575553,0.000943607591827959,"[28.78125, 27.296875, 24.78125, 43.46875]",1,0.326171875,10.741074716912582,0.0017006701635111589
13,management,1,0.01549530029296875,3.6932597312051803,0.0005847661241074869,"[30.0, 36.71875, 27.453125, 26.25]",1,0.3828125,9.840587735510896,0.0015580930581225584
14,public_relations,1,0.045867919921875,4.57823689429462,0.0007248875082633148,"[24.3125, 33.3125, 26.6875, 27.515625]",1,0.6015625,12.02463381762104,0.0019039003544566648
15,professional_law,0,1.6162109375,5.768779639374465,0.0009133901095676236,"[29.234375, 26.90625, 29.40625, 30.015625]",0,0.06201171875,12.83818382001606,0.0020327124381692096
16,college_physics,0,1.87890625,4.072587909588745,0.0006448264190182181,"[26.5625, 27.453125, 26.46875, 27.21875]",0,0.76953125,13.405374685376882,0.002122517658518006
17,professional_psychology,1,0.004833221435546875,4.72042901652446,0.0007474012609497061,"[28.1875, 33.8125, 41.75, 27.671875]",1,2.477318048477173e-07,11.4451986390315,0.0018121564511799871
