threshold,accuracy,carbon_g,escalation_rate,gqos
0.1,0.6333,0.558280,0.430,1.1344
0.2,0.6467,0.519030,0.370,1.2459
0.3,0.6467,0.499668,0.340,1.2942
0.4,0.6533,0.487578,0.320,1.3400
0.5,0.6733,0.457917,0.273,1.4704
0.6,0.6733,0.441966,0.250,1.5235
0.7,0.6733,0.429218,0.230,1.5687
0.8,0.6667,0.418577,0.213,1.5927
0.9,0.6700,0.400314,0.183,1.6737
1.0,0.6733,0.379483,0.150,1.7743
1.1,0.6800,0.357634,0.117,1.9014
1.2,0.6867,0.339932,0.090,2.0200
1.3,0.6900,0.325497,0.067,2.1198
1.4,0.6900,0.320846,0.060,2.1506
1.5,0.6933,0.309189,0.040,2.2424
1.6,0.6867,0.303138,0.030,2.2652
1.7,0.6833,0.293039,0.013,2.3319
1.8,0.6833,0.290882,0.010,2.3492
1.9,0.6867,0.287194,0.003,2.3910
