row,idx,tier
0,297,large
1,214,large
2,274,large
3,357,small
4,127,small
5,333,small
6,41,small
7,488,small
8,48,large
9,175,small
10,157,small
11,92,small
12,364,large
13,474,small
14,420,large
15,229,small
16,289,large
17,493,large
18,295,large
19,439,small
20,109,small
21,452,large
22,203,small
23,406,small
24,299,large
25,294,small
26,327,large
27,30,small
28,185,small
29,253,small
30,114,small
31,96,large
32,165,large
33,25,small
34,147,large
35,160,large
36,292,small
37,349,small
38,285,large
39,37,large
40,49,small
41,24,small
42,282,large
43,397,large
44,464,small
45,451,small
46,153,large
47,480,large
48,84,large
49,19,small
50,272,large
51,44,large
52,286,small
53,52,small
54,485,small
55,238,small
56,46,small
57,321,small
58,232,small
59,29,small
60,259,large
61,32,large
62,60,small
63,417,small
64,322,large
65,217,large
66,218,small
67,68,large
68,288,small
69,446,large
70,254,large
71,63,small
72,73,large
73,123,large
74,399,small
75,421,large
76,373,large
77,298,small
78,113,large
79,124,small
80,202,large
81,348,large
82,311,large
83,276,large
84,105,large
85,423,small
86,77,large
87,316,large
88,35,large
89,268,small
90,262,small
91,31,large
92,148,large
93,465,large
94,222,large
95,187,large
96,23,large
97,455,small
98,280,large
99,190,small
