threshold,accuracy,carbon_g,escalation_rate,gqos
0.1,0.7033,236.072633,0.960,0.0030
0.2,0.6867,227.782882,0.910,0.0030
0.3,0.6833,223.237237,0.883,0.0031
0.4,0.6867,216.256798,0.837,0.0032
0.5,0.6867,211.273652,0.807,0.0033
0.6,0.6900,208.362310,0.783,0.0033
0.7,0.6700,201.292318,0.733,0.0033
0.8,0.6533,196.866123,0.710,0.0033
0.9,0.6467,191.069766,0.680,0.0034
1.0,0.6400,185.219672,0.647,0.0035
1.1,0.6400,176.593168,0.600,0.0036
1.2,0.6400,168.314279,0.557,0.0038
1.3,0.6267,157.694833,0.490,0.0040
1.4,0.6033,143.600559,0.413,0.0042
1.5,0.5733,136.574294,0.373,0.0042
1.6,0.5467,123.977179,0.313,0.0044
1.7,0.5333,114.260455,0.260,0.0047
1.8,0.5100,96.256603,0.150,0.0053
1.9,0.4867,82.036319,0.063,0.0059
