threshold,accuracy,carbon_g,escalation_rate,gqos
0.1,0.5467,0.822227,0.773,0.6649
0.2,0.5533,0.794273,0.733,0.6967
0.3,0.5600,0.754240,0.690,0.7425
0.4,0.5700,0.712357,0.643,0.8002
0.5,0.5700,0.698359,0.623,0.8162
0.6,0.5767,0.680812,0.593,0.8470
0.7,0.5767,0.649169,0.563,0.8883
0.8,0.5767,0.628423,0.540,0.9176
0.9,0.5800,0.591943,0.493,0.9798
1.0,0.5900,0.566227,0.457,1.0420
1.1,0.6033,0.517137,0.383,1.1667
1.2,0.5833,0.467775,0.313,1.2470
1.3,0.5733,0.413255,0.240,1.3874
1.4,0.5833,0.390515,0.213,1.4938
1.5,0.5733,0.330584,0.150,1.7343
1.6,0.5733,0.287190,0.100,1.9964
1.7,0.5767,0.265808,0.067,2.1695
1.8,0.5800,0.236349,0.033,2.4540
1.9,0.5700,0.220359,0.013,2.5867
