threshold,accuracy,carbon_g,escalation_rate,gqos
0.1,0.6333,0.691658,0.430,0.9157
0.2,0.6467,0.648648,0.370,0.9969
0.3,0.6467,0.628583,0.340,1.0288
0.4,0.6500,0.617643,0.323,1.0524
0.5,0.6700,0.584725,0.273,1.1458
0.6,0.6733,0.568212,0.250,1.1850
0.7,0.6733,0.552485,0.230,1.2187
0.8,0.6700,0.538892,0.210,1.2433
0.9,0.6700,0.518744,0.183,1.2916
1.0,0.6733,0.486133,0.147,1.3851
1.1,0.6800,0.459956,0.117,1.4784
1.2,0.6867,0.432893,0.093,1.5862
1.3,0.6900,0.409321,0.070,1.6857
1.4,0.6900,0.397862,0.060,1.7343
1.5,0.6933,0.385388,0.040,1.7991
1.6,0.6867,0.379267,0.030,1.8105
1.7,0.6833,0.369067,0.013,1.8515
1.8,0.6833,0.366230,0.010,1.8659
1.9,0.6867,0.361001,0.003,1.9021
