idx,subject,small_correct,small_entropy,small_energy,small_carbon,small_logits,large_correct,large_entropy,large_energy,large_carbon
0,college_physics,0,1.50390625,30.30458781173238,0.004798226403524293,"[20.625, 22.078125, 21.75, 23.203125]",0,0.421875,23.990838394759688,0.003798549412503617
1,anatomy,0,1.7880859375,2.730483210523647,0.0004323265083329107,"[22.015625, 22.390625, 23.015625, 23.484375]",0,0.1640625,11.575760435316933,0.0018328287355918475
2,high_school_statistics,1,0.84716796875,2.787962804273351,0.0004414274440099472,"[21.296875, 20.140625, 23.375, 19.828125]",0,0.095703125,16.97870948118141,0.0026882956678537235
3,miscellaneous,0,1.6533203125,3.390106957225833,0.0005367669348940902,"[24.265625, 22.484375, 23.515625, 22.703125]",1,0.1474609375,8.427950823781794,0.001334425547098784
4,prehistory,0,1.294921875,2.930371265966432,0.000463975450444685,"[20.390625, 18.765625, 22.703125, 22.1875]",0,0.0014801025390625,13.824375499263589,0.002188859454050068
5,security_studies,0,1.474609375,2.9693675697744735,0.00047014986521429154,"[20.171875, 21.46875, 20.515625, 18.109375]",1,0.04345703125,23.762811550688678,0.003762445162192374
6,conceptual_physics,0,1.0126953125,2.8312944367191384,0.0004482882858138635,"[24.609375, 23.625, 21.046875, 19.703125]",0,1.4528632164001465e-07,8.238561097275351,0.0013044388404019306
7,marketing,1,0.0210723876953125,2.970827801878204,0.0004703810686307156,"[16.375, 16.75, 24.640625, 17.84375]",1,1.519918441772461e-06,6.55677710881133,0.0010381563755617938
8,professional_law,0,1.947265625,2.848099304192045,0.0004509490564970737,"[20.640625, 21.4375, 21.203125, 21.140625]",0,0.04443359375,16.341044796773666,0.002587332092822497
9,jurisprudence,0,0.440673828125,2.70843919386958,0.00042883620569601685,"[20.03125, 21.15625, 19.234375, 24.15625]",0,0.0703125,13.155983256717901,0.002083030682313668
10,moral_scenarios,1,1.80859375,2.8128059915377346,0.0004453609486601413,"[21.34375, 21.34375, 20.6875, 19.828125]",0,0.400390625,16.228468232389524,0.002569507470128341
11,public_relations,0,1.7412109375,2.8789378372299312,0.0004558318242280724,"[22.890625, 24.03125, 23.6875, 22.3125]",1,0.73046875,10.448574454663726,0.0016543576219884232
12,jurisprudence,1,0.337890625,2.888120672030103,0.0004572857730714329,"[20.546875, 19.359375, 18.0625, 23.828125]",1,0.326171875,10.449744824240774,0.0016545429305047893
13,management,0,1.0361328125,2.698075997230797,0.0004271953662282095,"[24.3125, 22.578125, 23.640625, 26.125]",1,0.298828125,9.987100522236757,0.0015812909160208197
