quality,carbon_g,avg_latency_s,escalation_rate,threshold,pct,retention_pct,carbon_cut_pct,gqos
3.052,112.09327524444267,17.256561917331982,0.95,0.666,5,99.86910994764398,-42.18454842338297,0.027227324684237126
3.058,108.29330621546619,16.702866493071987,0.9,0.8299,10,100.065445026178,-37.364483354986746,0.02823812576112173
3.046,104.46651892570618,16.14501147284398,0.85,0.9528,15,99.67277486910994,-32.51040070354916,0.02915766727295885
3.03,100.74894456879126,15.603040452297984,0.8,1.106,20,99.14921465968585,-27.794849034498405,0.030074756742797634
3.024,96.88846382715461,15.03990496987399,0.75,1.2175,25,98.95287958115183,-22.898027974093303,0.03121114610088878
3.032,92.93756304606181,14.466201526593991,0.7,1.2946,30,99.21465968586386,-17.886513748996013,0.03262405318823861
3.02,88.96360525972054,13.888262893339986,0.65,1.369,35,98.82198952879581,-12.845752899851902,0.03394646598666281
3.012,85.17738374926242,13.335368243163993,0.6,1.4443,40,98.56020942408377,-8.043125850892729,0.035361499349010964
3.016,81.18495133811813,12.748028155706004,0.55,1.4955,45,98.69109947643979,-2.9789308913688473,0.037149742043189736
3.002,77.0709470677671,12.14681632222401,0.5,1.5575,50,98.23298429319371,2.239471712321084,0.0389511237919575
2.984,73.1527320723893,11.574141545782007,0.45,1.6453,55,97.64397905759162,7.209525701096286,0.04079136780629248
2.978,69.12362116263111,10.985320586240006,0.4,1.7017,60,97.4476439790576,12.320245447686041,0.04308223368381539
2.972,64.96534990754415,10.382607877262002,0.35,1.7627,65,97.25130890052355,17.59479844238753,0.0457474639054453
2.952,60.973400127009604,9.797000953498008,0.3,1.8392,70,96.59685863874346,22.658381209831624,0.04841455444260754
2.946,57.138906213168866,9.237340925480014,0.25,1.8926,75,96.40052356020942,27.522239317133078,0.05155856482462789
2.94,53.196009919007984,8.664475897288009,0.2,1.9816,80,96.20418848167539,32.52360026267552,0.055267303026603126
2.93,49.29128182793986,8.099919325018005,0.15,2.0913,85,95.87696335078535,37.47654680771944,0.05944256045577584
2.902,45.34755852566749,7.524694048032007,0.1,2.2209,90,94.9607329842932,42.478956770472045,0.06399462494452526
2.896,41.3410713758047,6.940278276328008,0.05,2.5519,95,94.76439790575915,47.56097944243933,0.07005140175672647
