threshold,accuracy,carbon_g,escalation_rate,gqos
0.1,0.5300,0.818605,0.960,0.6474
0.2,0.5200,0.779755,0.910,0.6669
0.3,0.5167,0.760327,0.883,0.6795
0.4,0.5200,0.731440,0.837,0.7109
0.5,0.5200,0.709567,0.807,0.7328
0.6,0.5267,0.697670,0.783,0.7549
0.7,0.5067,0.667237,0.733,0.7594
0.8,0.4967,0.648868,0.710,0.7654
0.9,0.5067,0.626819,0.680,0.8083
1.0,0.5100,0.600243,0.647,0.8497
1.1,0.5100,0.567535,0.600,0.8986
1.2,0.5000,0.534808,0.557,0.9349
1.3,0.5100,0.487859,0.490,1.0454
1.4,0.5000,0.434568,0.413,1.1506
1.5,0.4833,0.407115,0.373,1.1872
1.6,0.4667,0.356463,0.313,1.3092
1.7,0.4700,0.315836,0.260,1.4881
1.8,0.4867,0.244552,0.150,1.9900
1.9,0.4767,0.190858,0.063,2.4975
