accuracy,carbon_g,escalation_rate,conf_threshold,retention_pct,carbon_cut_pct
0.678,8.189951126186083,0.048,0.7376,129.38931297709922,-2241.1700781040527
0.688,8.211557481059895,0.098,0.7949,131.2977099236641,-2247.3464460393548
0.688,8.228755438024109,0.148,0.8224,131.2977099236641,-2252.262634381481
0.68,8.247917587541316,0.198,0.8398,129.7709923664122,-2257.740304564201
0.674,8.265485151545267,0.248,0.8562,128.6259541984733,-2262.762148352709
0.668,8.281708689950174,0.298,0.87,127.48091603053436,-2267.3997905180086
0.652,8.298940247554366,0.348,0.8831,124.42748091603053,-2272.3255839007156
0.65,8.317372520831924,0.398,0.9003,124.04580152671755,-2277.594612494901
0.646,8.338430127750103,0.448,0.9127,123.2824427480916,-2283.614115966135
0.63,8.35473813660236,0.498,0.9291,120.2290076335878,-2288.2759047570707
0.63,8.374260843478964,0.548,0.9456,120.2290076335878,-2293.8566434548834
0.62,8.390013972924207,0.598,0.9585,118.32061068702289,-2298.3598150520593
0.604,8.408211685543327,0.648,0.9694,115.26717557251906,-2303.561792404232
0.58,8.424797386075001,0.698,0.9795,110.68702290076335,-2308.3029618215924
0.568,8.44112172639984,0.748,0.9854,108.39694656488548,-2312.9694191086337
0.556,8.45731239676759,0.798,0.9906,106.10687022900764,-2317.5976656543576
0.548,8.473703938372378,0.848,0.9957,104.58015267175573,-2322.283333022558
0.538,8.489255463977765,0.898,0.9982,102.67175572519085,-2326.7288743762533
0.528,8.50433658062348,0.948,0.9994,100.76335877862594,-2331.039945161823
