threshold,accuracy,carbon_g,escalation_rate,gqos
0.1,0.5733,0.829978,0.630,0.6908
0.2,0.5900,0.784722,0.557,0.7519
0.3,0.5933,0.742833,0.493,0.7987
0.4,0.6033,0.715687,0.453,0.8430
0.5,0.6100,0.689756,0.420,0.8844
0.6,0.6167,0.662135,0.377,0.9313
0.7,0.6300,0.636781,0.340,0.9894
0.8,0.6333,0.612235,0.313,1.0345
0.9,0.6433,0.571650,0.267,1.1254
1.0,0.6633,0.542636,0.230,1.2224
1.1,0.6600,0.498467,0.187,1.3241
1.2,0.6733,0.474749,0.150,1.4183
1.3,0.6733,0.452535,0.117,1.4879
1.4,0.6667,0.440229,0.097,1.5144
1.5,0.6700,0.421460,0.067,1.5897
1.6,0.6667,0.398524,0.033,1.6728
1.7,0.6667,0.386658,0.017,1.7242
1.8,0.6633,0.379524,0.007,1.7478
1.9,0.6667,0.378234,0.003,1.7626
