threshold,accuracy,carbon_g,escalation_rate,gqos
0.1,0.6000,0.696425,0.540,0.8615
0.2,0.6200,0.652487,0.477,0.9502
0.3,0.6300,0.637454,0.453,0.9883
0.4,0.6467,0.594515,0.403,1.0877
0.5,0.6533,0.575429,0.377,1.1354
0.6,0.6533,0.541174,0.327,1.2073
0.7,0.6533,0.535334,0.317,1.2204
0.8,0.6500,0.509729,0.280,1.2752
0.9,0.6533,0.492916,0.257,1.3254
1.0,0.6467,0.463134,0.220,1.3963
1.1,0.6467,0.430197,0.177,1.5032
1.2,0.6533,0.402331,0.137,1.6239
1.3,0.6500,0.375601,0.097,1.7306
1.4,0.6567,0.356068,0.073,1.8442
1.5,0.6567,0.338052,0.050,1.9425
1.6,0.6533,0.321171,0.033,2.0342
1.7,0.6567,0.313579,0.027,2.0941
1.8,0.6533,0.302904,0.010,2.1569
1.9,0.6533,0.295515,0.000,2.2108
