idx,subject,small_correct,small_entropy,small_energy,small_carbon,small_logits,large_correct,large_entropy,large_energy,large_carbon
0,college_physics,0,1.5986328125,25.670330527281763,0.0040644690001529465,"[13.1640625, 15.6640625, 14.3359375, 15.0859375]",0,0.421875,33.878864258622386,0.005364153507615212
1,anatomy,0,1.4501953125,2.8291132852364704,0.0004479429368291078,"[16.5625, 16.1875, 18.59375, 17.65625]",0,0.1640625,15.678213353713856,0.002482383781004694
2,high_school_statistics,1,1.478515625,3.6440571919307874,0.000576975722055708,"[16.625, 16.53125, 18.546875, 17.265625]",0,0.095703125,19.623997371239476,0.0031071329171129167
3,miscellaneous,1,1.2021484375,3.4090849633929063,0.0005397717858705434,"[14.0234375, 14.546875, 17.765625, 17.4375]",1,0.1474609375,11.350522428082895,0.001797166051113125
4,prehistory,0,1.9423828125,3.2706934261421847,0.0005178597924725126,"[17.765625, 17.484375, 17.4375, 18.125]",0,0.0014801025390625,13.493798418066891,0.002136518082860591
5,security_studies,0,1.8759765625,3.1310747078075076,0.0004957534954028554,"[16.375, 16.390625, 15.5, 15.53125]",1,0.04345703125,25.520935728463666,0.0040408148236734135
6,conceptual_physics,0,0.73974609375,3.002322356494892,0.0004753677064450246,"[19.234375, 17.203125, 14.6484375, 15.6953125]",0,1.4528632164001465e-07,10.800886642725375,0.0017101403850981844
7,marketing,0,1.8173828125,3.0212775083438546,0.0004783689388211103,"[18.0625, 17.8125, 16.90625, 18.5]",1,1.519918441772461e-06,11.858269020872164,0.0018775592616380927
8,professional_law,0,1.775390625,3.4161225938100417,0.0005408860773532566,"[14.5859375, 15.1484375, 14.0078125, 13.6484375]",0,0.04443359375,21.295940218407267,0.003371857201247817
9,jurisprudence,0,1.548828125,2.71648953971871,0.0004301108437887957,"[16.3125, 17.0, 16.65625, 18.265625]",0,0.0703125,12.123705090088908,0.001919586639264077
10,moral_scenarios,0,1.865234375,2.812725232629579,0.00044534816183301664,"[11.375, 10.640625, 10.84375, 11.75]",0,0.400390625,13.338405414461159,0.002111914190623017
11,public_relations,1,1.6640625,2.8200191541390964,0.00044650303273869024,"[12.53125, 14.625, 14.7421875, 13.6484375]",1,0.73046875,9.676874176291372,0.0015321717445794672
12,jurisprudence,1,0.7255859375,2.8398356800549305,0.0004496406493420306,"[14.203125, 12.2421875, 14.015625, 16.78125]",1,0.326171875,11.354144639320348,0.0017977395678923883
13,management,0,1.955078125,3.059494643196598,0.0004844199851727947,"[16.1875, 16.09375, 15.9609375, 16.59375]",1,0.298828125,12.889451867193582,0.0020408298789723173
14,public_relations,1,0.380859375,3.3605853622448905,0.000532092682355441,"[12.59375, 16.828125, 13.1953125, 12.640625]",1,0.62890625,19.291877021025613,0.0030545471949957217
15,professional_law,0,1.8798828125,3.5853493093665945,0.0005676803073163774,"[12.9765625, 12.9375, 12.703125, 13.7109375]",0,0.056396484375,33.65297363174716,0.0053283874916933
16,college_physics,0,1.474609375,3.5158563220582075,0.0005566772509925494,"[15.578125, 17.765625, 16.453125, 16.015625]",0,0.7734375,12.771975432766698,0.0020222294435213936
17,professional_psychology,1,1.6533203125,2.6824604811961588,0.00042472290952272514,"[18.09375, 16.140625, 18.421875, 17.234375]",1,2.682209014892578e-07,9.003563068775993,0.0014255641525561988
18,professional_law,0,1.599609375,2.9909294589964133,0.0004735638310077654,"[17.78125, 15.5078125, 16.75, 16.546875]",0,1.2734375,28.88171129369168,0.004572937621501183
19,marketing,0,1.439453125,3.5946260137133024,0.0005691491188379394,"[15.578125, 17.71875, 16.984375, 15.1953125]",1,1.0356307029724121e-06,11.344509745847468,0.0017962140430925156
20,high_school_psychology,0,1.6796875,3.289883407894842,0.0005208982062500166,"[15.90625, 16.609375, 17.140625, 17.859375]",0,1.0,10.747198248142773,0.0017016397226226056
