threshold,accuracy,carbon_g,escalation_rate,gqos
0.1,0.5367,0.878257,0.980,0.6111
0.2,0.5333,0.855470,0.947,0.6234
0.3,0.5367,0.823544,0.897,0.6517
0.4,0.5367,0.807163,0.877,0.6649
0.5,0.5400,0.793155,0.853,0.6808
0.6,0.5300,0.778652,0.830,0.6807
0.7,0.5267,0.767359,0.813,0.6863
0.8,0.5233,0.754470,0.790,0.6936
0.9,0.5267,0.730199,0.753,0.7213
1.0,0.5133,0.710553,0.727,0.7224
1.1,0.5100,0.696141,0.707,0.7326
1.2,0.5000,0.672203,0.670,0.7438
1.3,0.5000,0.634693,0.617,0.7878
1.4,0.5000,0.595587,0.573,0.8395
1.5,0.4900,0.543082,0.497,0.9023
1.6,0.4933,0.479957,0.413,1.0279
1.7,0.4767,0.416912,0.327,1.1433
1.8,0.4733,0.345050,0.237,1.3718
1.9,0.4567,0.255004,0.130,1.7908
