idx,subject,small_correct,small_entropy,small_energy,small_carbon,small_logits,large_correct,large_entropy,large_energy,large_carbon
0,college_physics,0,1.82421875,31.903245153906447,0.0050513471493685205,"[12.3125, 13.84375, 13.5859375, 13.1484375]",0,0.421875,28.085424656151837,0.004446858903890708
1,anatomy,1,1.671875,2.5258850850043424,0.00039993180512568755,"[13.1328125, 15.1875, 14.46875, 13.984375]",0,0.1640625,13.126737763021495,0.0020784001458117366
2,high_school_statistics,0,1.869140625,3.6363463911101355,0.0005757548452591047,"[14.09375, 15.046875, 14.421875, 14.0546875]",0,0.095703125,19.808907104937955,0.003136410291615176
3,miscellaneous,1,1.9501953125,4.481192294574818,0.0007095221133076795,"[13.1015625, 13.0234375, 13.359375, 12.59375]",1,0.1474609375,8.293212870996117,0.0013130920379077183
4,prehistory,0,1.748046875,3.2564866290750993,0.0005156103829368908,"[11.75, 13.4765625, 12.6171875, 12.5546875]",0,0.0014801025390625,13.231312574572641,0.002094957824307335
5,security_studies,0,1.93359375,3.6542467015027507,0.0005785890610712688,"[12.1171875, 12.734375, 12.015625, 12.1484375]",1,0.04345703125,23.001283188252845,0.0036418698381400338
6,conceptual_physics,1,1.84765625,3.6204007664826747,0.0005732301213597569,"[13.40625, 14.703125, 14.1328125, 13.90625]",0,1.4528632164001465e-07,11.925831955325778,0.0018882567262599149
7,marketing,0,1.962890625,2.9710129568396804,0.00047041038483294935,"[14.7734375, 15.375, 15.2890625, 15.0234375]",1,1.519918441772461e-06,15.78246343032567,0.0024988900431348977
8,professional_law,0,1.8974609375,2.813130895987475,0.0004454123918646835,"[14.703125, 15.359375, 14.671875, 14.390625]",0,0.04443359375,24.264992798396573,0.0038419571930794574
9,jurisprudence,1,1.67578125,3.3955958841114846,0.0005376360149843184,"[13.578125, 15.109375, 14.5078125, 13.375]",0,0.0703125,15.07388590579583,0.0023866986017510063
10,moral_scenarios,0,1.98046875,3.32868791772243,0.0005270422536393848,"[13.96875, 14.0703125, 13.8515625, 13.6171875]",0,0.400390625,15.313602386837733,0.002424653711249308
11,public_relations,1,1.939453125,3.042973612565769,0.00048180415532291345,"[13.7109375, 14.0, 14.484375, 13.9921875]",1,0.73046875,10.022493806985956,0.0015868948527727766
12,jurisprudence,0,1.6884765625,3.083894939560923,0.0004882833654304794,"[11.40625, 11.4453125, 10.15625, 9.703125]",1,0.326171875,8.427631665678259,0.001334375013732391
