threshold,accuracy,carbon_g,escalation_rate,gqos
0.1,0.5333,0.886460,1.000,0.6016
0.2,0.5333,0.886460,1.000,0.6016
0.3,0.5333,0.886460,1.000,0.6016
0.4,0.5333,0.886460,1.000,0.6016
0.5,0.5333,0.886460,1.000,0.6016
0.6,0.5333,0.886460,1.000,0.6016
0.7,0.5333,0.886460,1.000,0.6016
0.8,0.5333,0.886460,1.000,0.6016
0.9,0.5333,0.886460,1.000,0.6016
1.0,0.5333,0.886460,1.000,0.6016
1.1,0.5333,0.886460,1.000,0.6016
1.2,0.5333,0.886460,1.000,0.6016
1.3,0.5333,0.886460,1.000,0.6016
1.4,0.5333,0.886460,1.000,0.6016
1.5,0.5333,0.880440,0.990,0.6058
1.6,0.5300,0.877425,0.983,0.6040
1.7,0.5233,0.861168,0.957,0.6077
1.8,0.5067,0.817138,0.877,0.6201
1.9,0.4567,0.651337,0.673,0.7011
